Filenames,Depths,White percents
/Users/ugj3eb/Desktop/Third Sem/Computational BME/Comp BME/Module 2/MASK_SK658 Llobe ch010017.jpg,45,0.6571054458618164
/Users/ugj3eb/Desktop/Third Sem/Computational BME/Comp BME/Module 2/MASK_SK658 Llobe ch010018.jpg,90,0.8045673370361328
/Users/ugj3eb/Desktop/Third Sem/Computational BME/Comp BME/Module 2/MASK_SK658 Llobe ch010019.jpg,60,0.7469892501831055
/Users/ugj3eb/Desktop/Third Sem/Computational BME/Comp BME/Module 2/MASK_SK658 Llobe ch010021.jpg,30,0.5698204040527344
/Users/ugj3eb/Desktop/Third Sem/Computational BME/Comp BME/Module 2/MASK_SK658 Llobe ch010022.jpg,80,0.7903814315795898
/Users/ugj3eb/Desktop/Third Sem/Computational BME/Comp BME/Module 2/MASK_SK658 Llobe ch010023.jpg,100,0.8942604064941406
